Date,Start Time,End Time,Genre,Tempo,Energy,Danceability,Valence
2024-10-01,2024-10-01 14:33:00,2024-10-01 15:00:00,Pop,145.92,0.11,0.74,0.88
2024-10-01,2024-10-01 15:02:00,2024-10-01 15:24:00,Pop,166.35,0.8,0.99,0.28
2024-10-01,2024-10-01 15:30:00,2024-10-01 15:42:00,Electronic,143.82,0.3,0.9,0.47
2024-10-01,2024-10-01 15:47:00,2024-10-01 16:13:00,Phonk,85.84,0.32,0.66,0.94
2024-10-01,2024-10-01 16:14:00,2024-10-01 16:20:00,Hip-Hop,167.24,0.95,0.94,0.98
2024-10-01,2024-10-01 16:30:00,2024-10-01 16:37:00,Techno,145.29,0.85,0.87,0.24
2024-10-01,2024-10-01 16:42:00,2024-10-01 16:59:00,Techno,178.26,0.27,0.25,0.5
2024-10-01,2024-10-01 17:01:00,2024-10-01 17:22:00,Phonk,152.57,0.6,0.46,0.35
2024-10-01,2024-10-01 17:32:00,2024-10-01 17:39:00,Hip-Hop,127.01,0.53,0.62,0.98
2024-10-01,2024-10-01 17:45:00,2024-10-01 18:08:00,Techno,69.16,0.37,0.15,0.59
2024-10-01,2024-10-01 18:09:00,2024-10-01 18:31:00,Phonk,68.53,0.2,0.68,0.73
2024-10-01,2024-10-01 18:37:00,2024-10-01 18:43:00,Hip-Hop,162.02,0.65,0.91,0.43
2024-10-01,2024-10-01 18:53:00,2024-10-01 19:23:00,Techno,148.76,0.18,0.12,0.58
2024-10-01,2024-10-01 19:25:00,2024-10-01 19:50:00,Phonk,65.12,0.11,0.21,0.39
2024-10-01,2024-10-01 19:57:00,2024-10-01 20:20:00,Techno,137.68,0.82,0.37,0.13
2024-10-01,2024-10-01 20:29:00,2024-10-01 20:44:00,Electronic,87.37,0.69,0.62,0.95
2024-10-01,2024-10-01 20:47:00,2024-10-01 20:58:00,Electronic,81.45,0.97,0.96,0.91
2024-10-01,2024-10-01 21:08:00,2024-10-01 21:29:00,Techno,129.89,0.93,0.35,0.97
2024-10-01,2024-10-01 21:36:00,2024-10-01 22:00:00,Hip-Hop,102.03,0.67,0.1,0.77
2024-10-01,2024-10-01 22:10:00,2024-10-01 22:39:00,R&B,146.59,0.76,0.95,0.73
2024-10-01,2024-10-01 22:46:00,2024-10-01 22:57:00,Rock,69.69,0.98,0.49,0.12
2024-10-01,2024-10-01 23:07:00,2024-10-01 23:29:00,Electronic,101.44,0.72,0.2,0.97
2024-10-01,2024-10-01 23:34:00,2024-10-01 23:51:00,Hip-Hop,69.13,0.76,0.87,0.39
2024-10-02,2024-10-02 00:00:00,2024-10-02 00:24:00,Electronic,75.13,0.31,0.7,0.36
2024-10-02,2024-10-02 00:32:00,2024-10-02 01:01:00,Classical,113.6,0.82,0.21,0.59
2024-10-02,2024-10-02 01:09:00,2024-10-02 01:25:00,Pop,93.65,0.73,0.61,0.77
2024-10-02,2024-10-02 01:34:00,2024-10-02 01:59:00,Phonk,166.48,0.16,0.36,0.68
2024-10-02,2024-10-02 02:06:00,2024-10-02 02:25:00,Pop,130.22,0.78,0.73,0.95
2024-10-02,2024-10-02 02:32:00,2024-10-02 02:41:00,Hip-Hop,118.14,0.99,0.47,0.94
2024-10-02,2024-10-02 02:43:00,2024-10-02 03:00:00,Techno,146.53,0.65,0.39,0.71
2024-10-02,2024-10-02 03:03:00,2024-10-02 03:12:00,R&B,174.61,0.62,0.31,0.48
2024-10-02,2024-10-02 03:13:00,2024-10-02 03:24:00,Techno,83.12,0.98,0.98,0.88
2024-10-02,2024-10-02 03:34:00,2024-10-02 03:39:00,Classical,116.15,0.97,0.43,0.49
2024-10-02,2024-10-02 03:43:00,2024-10-02 04:03:00,R&B,114.55,0.24,0.58,0.5
2024-10-02,2024-10-02 04:08:00,2024-10-02 04:20:00,Classical,69.5,0.14,0.29,0.85
2024-10-02,2024-10-02 04:29:00,2024-10-02 04:54:00,Pop,65.86,0.16,0.65,0.49
2024-10-02,2024-10-02 05:01:00,2024-10-02 05:21:00,Pop,76.51,0.68,0.16,0.78
2024-10-02,2024-10-02 05:29:00,2024-10-02 05:36:00,Techno,156.95,0.55,0.63,0.82
2024-10-02,2024-10-02 05:38:00,2024-10-02 06:02:00,Classical,164.82,0.58,0.43,0.86
2024-10-02,2024-10-02 06:05:00,2024-10-02 06:15:00,Classical,137.05,0.28,0.3,0.64
2024-10-02,2024-10-02 06:22:00,2024-10-02 06:43:00,Techno,144.2,0.75,0.16,0.79
2024-10-02,2024-10-02 06:52:00,2024-10-02 07:05:00,Classical,70.56,0.48,0.15,0.29
2024-10-02,2024-10-02 07:07:00,2024-10-02 07:15:00,Electronic,71.06,0.77,0.58,0.85
2024-10-02,2024-10-02 07:17:00,2024-10-02 07:25:00,Techno,101.36,0.46,0.26,0.61
2024-10-02,2024-10-02 07:32:00,2024-10-02 07:55:00,Rock,77.76,0.67,0.5,0.82
2024-10-02,2024-10-02 07:57:00,2024-10-02 08:21:00,Pop,134.72,0.33,0.81,0.94
2024-10-02,2024-10-02 08:26:00,2024-10-02 08:36:00,Electronic,158.17,0.77,0.43,0.13
2024-10-02,2024-10-02 08:42:00,2024-10-02 09:09:00,Techno,69.1,0.98,0.36,0.68
2024-10-02,2024-10-02 09:19:00,2024-10-02 09:43:00,Techno,168.33,0.67,0.12,0.55
2024-10-02,2024-10-02 09:52:00,2024-10-02 10:09:00,Rock,91.52,0.63,0.95,0.87
2024-10-02,2024-10-02 10:12:00,2024-10-02 10:35:00,Electronic,126.93,0.18,0.29,0.41
2024-10-02,2024-10-02 10:36:00,2024-10-02 11:01:00,Electronic,169.83,0.6,0.41,0.81
2024-10-02,2024-10-02 11:02:00,2024-10-02 11:28:00,Pop,179.47,0.53,0.24,0.3
2024-10-02,2024-10-02 11:34:00,2024-10-02 11:57:00,Hip-Hop,109.65,0.86,0.43,0.24
2024-10-02,2024-10-02 12:07:00,2024-10-02 12:17:00,Pop,145.96,0.94,0.2,0.63
2024-10-02,2024-10-02 12:26:00,2024-10-02 12:35:00,Electronic,121.78,0.17,0.19,0.27
2024-10-02,2024-10-02 12:39:00,2024-10-02 12:56:00,Phonk,61.08,0.22,0.53,0.67
2024-10-02,2024-10-02 13:02:00,2024-10-02 13:13:00,Hip-Hop,96.15,0.81,0.62,0.3
2024-10-02,2024-10-02 13:17:00,2024-10-02 13:42:00,Phonk,139.81,0.53,0.71,0.17
2024-10-02,2024-10-02 13:46:00,2024-10-02 13:52:00,Phonk,162.35,0.78,0.66,0.19
2024-10-02,2024-10-02 13:53:00,2024-10-02 14:00:00,Rock,85.78,0.78,0.36,0.25
2024-10-02,2024-10-02 14:01:00,2024-10-02 14:12:00,Classical,101.12,0.93,0.96,0.41
2024-10-02,2024-10-02 14:13:00,2024-10-02 14:36:00,Hip-Hop,106.77,0.55,0.61,0.75
2024-10-02,2024-10-02 14:43:00,2024-10-02 15:11:00,Rock,137.59,0.26,0.76,0.5
2024-10-02,2024-10-02 15:21:00,2024-10-02 15:38:00,Phonk,134.83,0.79,0.1,0.13
2024-10-02,2024-10-02 15:47:00,2024-10-02 16:11:00,Rock,73.9,0.55,0.51,0.51
2024-10-02,2024-10-02 16:17:00,2024-10-02 16:25:00,Electronic,149.69,0.82,0.95,0.78
2024-10-02,2024-10-02 16:28:00,2024-10-02 16:47:00,Electronic,173.99,0.24,0.17,0.85
2024-10-02,2024-10-02 16:50:00,2024-10-02 17:05:00,R&B,165.65,0.28,0.47,0.27
2024-10-02,2024-10-02 17:07:00,2024-10-02 17:34:00,Techno,82.51,0.25,0.26,0.39
2024-10-02,2024-10-02 17:35:00,2024-10-02 18:04:00,Phonk,86.2,0.58,0.55,0.35
2024-10-02,2024-10-02 18:10:00,2024-10-02 18:23:00,Phonk,108.45,0.9,0.99,0.16
2024-10-02,2024-10-02 18:30:00,2024-10-02 18:44:00,Electronic,102.62,0.13,0.24,0.14
2024-10-02,2024-10-02 18:52:00,2024-10-02 18:59:00,Electronic,119.81,0.67,0.58,0.88
2024-10-02,2024-10-02 19:05:00,2024-10-02 19:28:00,Phonk,62.91,0.95,0.65,0.2
2024-10-02,2024-10-02 19:31:00,2024-10-02 19:40:00,Electronic,110.84,0.78,0.36,0.22
2024-10-02,2024-10-02 19:41:00,2024-10-02 20:04:00,Electronic,121.16,0.59,0.33,0.97
2024-10-02,2024-10-02 20:05:00,2024-10-02 20:34:00,Electronic,117.35,0.92,0.77,0.73
2024-10-02,2024-10-02 20:43:00,2024-10-02 21:06:00,Hip-Hop,148.59,0.12,0.97,0.63
2024-10-02,2024-10-02 21:07:00,2024-10-02 21:18:00,Pop,170.86,0.12,0.78,0.34
2024-10-02,2024-10-02 21:23:00,2024-10-02 21:32:00,Phonk,178.41,0.82,0.8,0.9
2024-10-02,2024-10-02 21:36:00,2024-10-02 21:55:00,Electronic,79.17,0.85,0.92,0.81
2024-10-02,2024-10-02 22:04:00,2024-10-02 22:31:00,Rock,107.35,0.62,0.44,0.65
2024-10-02,2024-10-02 22:34:00,2024-10-02 22:46:00,Hip-Hop,171.55,0.7,0.74,0.91
2024-10-02,2024-10-02 22:56:00,2024-10-02 23:11:00,R&B,160.79,0.42,0.92,0.87
2024-10-02,2024-10-02 23:15:00,2024-10-02 23:41:00,Rock,159.93,0.96,0.11,0.61
2024-10-02,2024-10-02 23:46:00,2024-10-02 23:58:00,Phonk,148.33,0.9,0.28,0.4
2024-10-03,2024-10-03 00:00:00,2024-10-03 00:06:00,Rock,138.15,0.89,0.99,0.35
2024-10-03,2024-10-03 00:14:00,2024-10-03 00:38:00,Hip-Hop,80.31,0.73,0.19,0.2
2024-10-03,2024-10-03 00:41:00,2024-10-03 01:10:00,R&B,133.06,0.77,0.52,0.82
2024-10-03,2024-10-03 01:17:00,2024-10-03 01:44:00,Pop,113.45,0.29,0.68,0.99
2024-10-03,2024-10-03 01:52:00,2024-10-03 02:10:00,Techno,89.43,0.52,0.78,0.59
2024-10-03,2024-10-03 02:13:00,2024-10-03 02:31:00,Classical,142.91,0.97,0.17,0.8
2024-10-03,2024-10-03 02:39:00,2024-10-03 02:58:00,Pop,81.33,0.38,0.5,0.94
2024-10-03,2024-10-03 03:03:00,2024-10-03 03:10:00,Classical,170.9,0.99,0.61,0.93
2024-10-03,2024-10-03 03:13:00,2024-10-03 03:38:00,Hip-Hop,142.28,0.24,0.66,0.27
2024-10-03,2024-10-03 03:45:00,2024-10-03 03:56:00,Electronic,176.74,0.57,0.53,0.88
2024-10-03,2024-10-03 04:02:00,2024-10-03 04:09:00,Electronic,140.51,0.86,0.33,0.3
2024-10-03,2024-10-03 04:16:00,2024-10-03 04:35:00,Hip-Hop,125.86,0.93,0.82,0.44
2024-10-03,2024-10-03 04:43:00,2024-10-03 04:55:00,Electronic,168.2,0.98,0.38,0.72
2024-10-03,2024-10-03 05:02:00,2024-10-03 05:10:00,Techno,113.18,0.68,0.78,0.82
2024-10-03,2024-10-03 05:15:00,2024-10-03 05:34:00,Phonk,173.77,0.15,0.47,0.52
2024-10-03,2024-10-03 05:36:00,2024-10-03 05:44:00,Phonk,140.49,0.76,0.98,0.92
2024-10-03,2024-10-03 05:45:00,2024-10-03 06:14:00,Techno,66.71,0.36,0.18,0.78
2024-10-03,2024-10-03 06:22:00,2024-10-03 06:51:00,R&B,139.1,0.1,0.18,0.77
2024-10-03,2024-10-03 06:59:00,2024-10-03 07:26:00,Techno,134.19,0.94,0.4,0.66
2024-10-03,2024-10-03 07:27:00,2024-10-03 07:47:00,Hip-Hop,98.67,0.54,0.63,0.55
2024-10-03,2024-10-03 07:48:00,2024-10-03 08:02:00,Phonk,108.14,0.82,0.49,0.62
2024-10-03,2024-10-03 08:09:00,2024-10-03 08:23:00,R&B,95.56,0.33,0.28,0.54
2024-10-03,2024-10-03 08:29:00,2024-10-03 08:35:00,Pop,152.35,0.27,0.63,0.96
2024-10-03,2024-10-03 08:45:00,2024-10-03 09:13:00,Electronic,116.24,0.75,0.2,0.36
2024-10-03,2024-10-03 09:19:00,2024-10-03 09:24:00,Phonk,150.46,0.93,0.14,0.93
2024-10-03,2024-10-03 09:28:00,2024-10-03 09:43:00,R&B,131.19,0.66,0.82,0.3
2024-10-03,2024-10-03 09:47:00,2024-10-03 10:00:00,Classical,100.8,0.68,0.72,0.16
2024-10-03,2024-10-03 10:01:00,2024-10-03 10:25:00,Techno,164.47,0.9,0.37,0.81
2024-10-03,2024-10-03 10:32:00,2024-10-03 10:39:00,Hip-Hop,70.08,0.16,0.93,0.97
2024-10-03,2024-10-03 10:40:00,2024-10-03 10:58:00,R&B,95.27,0.28,0.55,0.15
2024-10-03,2024-10-03 11:02:00,2024-10-03 11:10:00,Hip-Hop,96.53,0.8,0.4,0.31
2024-10-03,2024-10-03 11:12:00,2024-10-03 11:32:00,Rock,87.27,0.97,0.4,0.83
2024-10-03,2024-10-03 11:41:00,2024-10-03 11:49:00,Electronic,64.25,0.2,0.89,0.73
2024-10-03,2024-10-03 11:59:00,2024-10-03 12:22:00,Hip-Hop,156.05,0.66,0.79,0.7
2024-10-03,2024-10-03 12:32:00,2024-10-03 13:02:00,R&B,123.21,0.8,0.56,0.24
2024-10-03,2024-10-03 13:05:00,2024-10-03 13:35:00,Techno,78.98,0.7,0.83,0.94
2024-10-03,2024-10-03 13:38:00,2024-10-03 13:54:00,Phonk,79.79,0.29,0.19,0.51
2024-10-03,2024-10-03 13:58:00,2024-10-03 14:10:00,Techno,158.4,0.97,0.95,0.45
2024-10-03,2024-10-03 14:12:00,2024-10-03 14:31:00,Rock,142.97,0.27,0.66,0.86
2024-10-03,2024-10-03 14:35:00,2024-10-03 14:50:00,Classical,66.24,0.13,0.67,0.19
2024-10-03,2024-10-03 14:59:00,2024-10-03 15:11:00,Rock,81.43,0.9,0.16,0.97
2024-10-03,2024-10-03 15:21:00,2024-10-03 15:32:00,Phonk,105.05,0.6,0.18,0.15
2024-10-03,2024-10-03 15:33:00,2024-10-03 15:43:00,Hip-Hop,137.12,0.69,0.93,0.14
2024-10-03,2024-10-03 15:49:00,2024-10-03 16:10:00,Techno,171.95,0.63,0.11,0.76
2024-10-03,2024-10-03 16:20:00,2024-10-03 16:35:00,Classical,174.23,0.41,0.11,0.13
2024-10-03,2024-10-03 16:43:00,2024-10-03 17:00:00,Pop,83.7,0.98,0.97,0.62
2024-10-03,2024-10-03 17:03:00,2024-10-03 17:21:00,Pop,167.45,0.85,0.39,0.69
2024-10-03,2024-10-03 17:30:00,2024-10-03 17:45:00,Techno,104.01,0.88,0.85,0.19
2024-10-03,2024-10-03 17:54:00,2024-10-03 18:18:00,Classical,136.91,0.11,0.67,0.52
2024-10-03,2024-10-03 18:27:00,2024-10-03 18:42:00,Hip-Hop,105.2,0.86,0.74,0.78
2024-10-03,2024-10-03 18:46:00,2024-10-03 19:07:00,Rock,136.73,0.6,0.22,0.34
2024-10-03,2024-10-03 19:08:00,2024-10-03 19:18:00,R&B,161.72,0.33,0.81,0.88
2024-10-03,2024-10-03 19:23:00,2024-10-03 19:40:00,Electronic,77.78,0.4,0.44,0.54
2024-10-03,2024-10-03 19:43:00,2024-10-03 20:08:00,Rock,70.3,0.6,0.2,0.27
2024-10-03,2024-10-03 20:15:00,2024-10-03 20:45:00,Hip-Hop,152.35,0.31,0.46,0.92
2024-10-03,2024-10-03 20:52:00,2024-10-03 21:19:00,Electronic,74.77,0.18,0.28,0.28
2024-10-03,2024-10-03 21:26:00,2024-10-03 21:54:00,Phonk,177.54,0.89,0.28,0.83
2024-10-03,2024-10-03 21:55:00,2024-10-03 22:21:00,Electronic,117.4,0.85,0.1,0.74
2024-10-03,2024-10-03 22:23:00,2024-10-03 22:45:00,Rock,135.11,0.37,0.39,0.3
2024-10-03,2024-10-03 22:51:00,2024-10-03 23:05:00,Rock,107.0,0.48,0.89,0.13
2024-10-03,2024-10-03 23:10:00,2024-10-03 23:32:00,Pop,80.34,0.35,0.19,0.38
2024-10-04,2024-10-04 00:00:00,2024-10-04 00:28:00,Classical,163.74,0.19,0.47,0.37
2024-10-04,2024-10-04 00:31:00,2024-10-04 00:48:00,Phonk,170.82,0.54,0.97,0.71
2024-10-04,2024-10-04 00:50:00,2024-10-04 01:07:00,Hip-Hop,144.47,0.76,0.7,0.57
2024-10-04,2024-10-04 01:17:00,2024-10-04 01:39:00,Hip-Hop,111.27,0.32,0.95,0.49
2024-10-04,2024-10-04 01:41:00,2024-10-04 02:02:00,Phonk,67.18,0.73,0.36,0.9
2024-10-04,2024-10-04 02:09:00,2024-10-04 02:28:00,Hip-Hop,137.78,0.66,0.6,0.68
2024-10-04,2024-10-04 02:36:00,2024-10-04 02:53:00,Electronic,124.11,0.69,0.34,0.27
2024-10-04,2024-10-04 03:03:00,2024-10-04 03:12:00,Electronic,147.13,0.89,0.53,0.18
2024-10-04,2024-10-04 03:22:00,2024-10-04 03:35:00,R&B,71.73,0.11,0.78,0.47
2024-10-04,2024-10-04 03:40:00,2024-10-04 04:04:00,Hip-Hop,76.45,0.89,0.46,0.68
2024-10-04,2024-10-04 04:08:00,2024-10-04 04:30:00,Pop,109.14,0.61,0.84,0.95
2024-10-04,2024-10-04 04:40:00,2024-10-04 04:49:00,Classical,115.62,0.76,0.31,0.36
2024-10-04,2024-10-04 04:56:00,2024-10-04 05:13:00,Pop,85.67,0.51,0.28,0.99
2024-10-04,2024-10-04 05:16:00,2024-10-04 05:45:00,Pop,144.54,0.61,0.57,0.53
2024-10-04,2024-10-04 05:51:00,2024-10-04 06:02:00,Electronic,157.19,0.22,0.7,0.56
2024-10-04,2024-10-04 06:04:00,2024-10-04 06:26:00,Phonk,75.18,0.91,0.86,0.72
2024-10-04,2024-10-04 06:30:00,2024-10-04 06:44:00,Phonk,127.06,0.81,0.27,0.15
2024-10-04,2024-10-04 06:51:00,2024-10-04 07:21:00,R&B,104.42,0.83,0.74,0.66
2024-10-04,2024-10-04 07:30:00,2024-10-04 07:53:00,Techno,145.6,0.98,0.42,0.29
2024-10-04,2024-10-04 07:56:00,2024-10-04 08:03:00,Techno,159.48,0.44,0.29,0.19
2024-10-04,2024-10-04 08:13:00,2024-10-04 08:20:00,Techno,71.15,0.85,0.71,0.99
2024-10-04,2024-10-04 08:21:00,2024-10-04 08:46:00,Pop,133.83,0.31,0.77,0.34
2024-10-04,2024-10-04 08:48:00,2024-10-04 09:08:00,Electronic,146.27,0.11,0.48,0.19
2024-10-04,2024-10-04 09:14:00,2024-10-04 09:37:00,Electronic,126.34,0.13,0.61,0.34
2024-10-04,2024-10-04 09:39:00,2024-10-04 09:53:00,Rock,123.61,0.61,0.16,0.87
2024-10-04,2024-10-04 10:02:00,2024-10-04 10:31:00,Pop,107.07,0.73,0.62,0.91
2024-10-04,2024-10-04 10:40:00,2024-10-04 11:05:00,Classical,117.52,0.27,0.81,0.25
2024-10-04,2024-10-04 11:12:00,2024-10-04 11:17:00,R&B,126.26,0.8,0.86,0.2
2024-10-04,2024-10-04 11:25:00,2024-10-04 11:48:00,Hip-Hop,128.15,0.57,0.36,0.19
2024-10-04,2024-10-04 11:52:00,2024-10-04 12:17:00,Electronic,62.93,0.15,0.86,0.59
2024-10-04,2024-10-04 12:25:00,2024-10-04 12:52:00,Hip-Hop,61.26,0.18,0.41,0.15
2024-10-04,2024-10-04 12:57:00,2024-10-04 13:27:00,Rock,74.41,0.25,0.52,0.32
2024-10-04,2024-10-04 13:31:00,2024-10-04 14:01:00,Hip-Hop,95.99,0.89,0.62,0.3
2024-10-04,2024-10-04 14:02:00,2024-10-04 14:23:00,Hip-Hop,70.71,0.72,0.27,0.25
2024-10-04,2024-10-04 14:27:00,2024-10-04 14:45:00,Techno,92.43,0.29,0.23,0.34
2024-10-04,2024-10-04 14:53:00,2024-10-04 15:16:00,Techno,173.44,0.96,0.43,0.75
2024-10-04,2024-10-04 15:22:00,2024-10-04 15:45:00,R&B,177.82,0.17,0.19,0.57
2024-10-04,2024-10-04 15:51:00,2024-10-04 15:59:00,Rock,172.51,0.97,0.14,0.1
2024-10-04,2024-10-04 16:03:00,2024-10-04 16:22:00,R&B,81.62,0.66,0.71,0.25
2024-10-04,2024-10-04 16:32:00,2024-10-04 16:50:00,Pop,73.41,0.58,0.91,0.86
2024-10-04,2024-10-04 16:55:00,2024-10-04 17:06:00,Pop,167.78,0.83,0.56,0.26
2024-10-04,2024-10-04 17:08:00,2024-10-04 17:34:00,Classical,90.25,0.52,0.85,0.87
2024-10-04,2024-10-04 17:39:00,2024-10-04 17:52:00,Hip-Hop,102.73,0.37,0.68,0.67
2024-10-04,2024-10-04 18:02:00,2024-10-04 18:08:00,Pop,159.16,0.62,0.4,0.25
2024-10-04,2024-10-04 18:09:00,2024-10-04 18:16:00,Hip-Hop,128.58,0.8,0.31,0.87
2024-10-04,2024-10-04 18:24:00,2024-10-04 18:30:00,Phonk,92.68,0.59,0.19,0.79
2024-10-04,2024-10-04 18:31:00,2024-10-04 19:01:00,Classical,155.33,0.89,0.63,0.58
2024-10-04,2024-10-04 19:04:00,2024-10-04 19:33:00,Pop,178.23,0.81,0.34,0.71
2024-10-04,2024-10-04 19:40:00,2024-10-04 19:46:00,Phonk,135.25,0.82,0.14,0.15
2024-10-04,2024-10-04 19:48:00,2024-10-04 20:09:00,Phonk,123.52,0.47,0.69,0.39
2024-10-04,2024-10-04 20:16:00,2024-10-04 20:46:00,Phonk,97.6,0.13,0.47,0.25
2024-10-04,2024-10-04 20:56:00,2024-10-04 21:01:00,Techno,92.1,0.79,0.29,0.9
2024-10-04,2024-10-04 21:07:00,2024-10-04 21:28:00,Techno,178.77,0.72,0.92,0.55
2024-10-04,2024-10-04 21:29:00,2024-10-04 21:55:00,Phonk,121.78,0.38,0.79,0.25
2024-10-04,2024-10-04 21:57:00,2024-10-04 22:14:00,Techno,119.93,0.68,0.42,0.32
2024-10-04,2024-10-04 22:20:00,2024-10-04 22:40:00,Classical,81.51,0.76,0.18,0.37
2024-10-04,2024-10-04 22:50:00,2024-10-04 23:08:00,Hip-Hop,86.17,0.99,0.89,0.93
2024-10-04,2024-10-04 23:12:00,2024-10-04 23:34:00,Classical,77.29,0.9,0.31,0.97
2024-10-05,2024-10-05 00:00:00,2024-10-05 00:22:00,Rock,111.42,0.54,0.57,0.22
2024-10-05,2024-10-05 00:32:00,2024-10-05 01:01:00,Classical,88.03,0.99,0.75,0.69
2024-10-05,2024-10-05 01:11:00,2024-10-05 01:16:00,Electronic,91.73,0.35,0.23,0.95
2024-10-05,2024-10-05 01:24:00,2024-10-05 01:32:00,Hip-Hop,133.66,0.39,0.79,0.13
2024-10-05,2024-10-05 01:42:00,2024-10-05 01:47:00,Pop,119.48,0.84,0.73,0.61
2024-10-05,2024-10-05 01:52:00,2024-10-05 02:20:00,Rock,142.87,0.81,0.5,0.33
2024-10-05,2024-10-05 02:21:00,2024-10-05 02:43:00,Classical,171.51,0.64,0.62,0.21
2024-10-05,2024-10-05 02:44:00,2024-10-05 02:59:00,Electronic,105.08,0.85,0.92,0.36
2024-10-05,2024-10-05 03:06:00,2024-10-05 03:35:00,Rock,146.09,0.2,0.81,0.47
2024-10-05,2024-10-05 03:40:00,2024-10-05 04:07:00,Hip-Hop,122.07,0.61,0.78,0.86
2024-10-05,2024-10-05 04:14:00,2024-10-05 04:28:00,Rock,64.32,0.36,0.93,0.54
2024-10-05,2024-10-05 04:30:00,2024-10-05 04:58:00,Rock,164.4,0.89,0.21,0.71
2024-10-05,2024-10-05 05:08:00,2024-10-05 05:38:00,Techno,68.49,0.64,0.42,0.21
